condition_id,action_id,priority,reason,id
posture_related_headache,action_posture_correction,high,Posture may contribute to symptoms,ea5b46f17c59d8132c30db4def00c763f71627c3156d288e39c58ca055de01f4
posture_related_headache,action_ergonomic_adjustments,high,Reduce device/desk strain,abefca0f3e1c1ffdc438d1066a7ead9968f8d19a589c29bcd4187de349caf04c
posture_related_headache,action_reduce_screen_time,medium,Reduce strain triggers,ed81c440757a0b8847078f4f91062caebf93502c6d3f9bfbc5b81d6c83143150
tension_headache,action_sleep_hygiene,medium,Sleep routine may help,bb8bb671ff0f76ea5b7045d325447c1419f9daa9202101fdc42a3d3ff201b805
migraine_possible,action_sleep_hygiene,medium,Sleep routine may help,82b70e0d6c969b1318073896ee9a827e7bdc13d45618c0342d1b45886f6b9722
migraine_possible,action_reduce_screen_time,low,Reduce triggers if relevant,81fc324fe9e1db4bf82ed542475360d51e07bb30edda25058d9151d99627dad9
eye_strain_headache,action_reduce_screen_time,high,Reduce eye strain triggers,97fd267cf37d9a857b5dde6a852f8086e4b7b26d16d53043fe9399f807ad5ea8
eye_strain_headache,action_ergonomic_adjustments,medium,Adjust screen/lighting,1630b6481328dbfb37054dced754ba509ec192365cfa577bafc454b2526e51d4
sleep_deprivation_headache,action_sleep_hygiene,high,Sleep routine improvement,430fca71157c90ca5f0d5191ff6db3f3204e0fd084fe90a9751437d9b0cb19ea
dehydration_headache,action_hydration,high,Hydration support,cdc593c2c39c8ff2d6e3463b8ffda51590c22fcbbb4cfa0b4673aaed5492f35c
viral_uri,action_rest,medium,Supportive recovery,eae6be64728a6f0e6afd9aff002c860bf521f9291504a557896418d08e3cfb41
viral_uri,action_hydration,medium,Supportive recovery,b2e42759f2ca6e5d3721e418466da6702b5b5b1808d9626d91de12a50215155a
influenza_like_illness,action_rest,high,Supportive recovery,130daaeedb9414e4b0eac838fbb4a5f5003b7abdae9da152df019be795eee495
influenza_like_illness,action_hydration,high,Supportive recovery,f6559d22168c721f9d49edbefc4dbe3225911ff1e4da0d8acc6e1e6f9c9aca39
acute_gastroenteritis,action_symptom_monitoring,medium,Monitor dehydration signs,4e6f738eadffa420593ea1eb81d961e95e765338a28368b42354b3302bcf75bd
acute_gastroenteritis,action_hydration,high,Hydration support,ed611faf2852b03f7997152c9ca38ae99086c81fc225d9c811b0b07acef0e159
hypertension_risk,action_bp_self_monitoring,high,Home BP checks if clinician recommends,6b5470701bb304e163216346ac3d97c615f3e4d3553df699cb794f9f35dc85a1
hyperglycemia_risk_prediabetes_diabetes,action_glucose_followup,high,Follow-up for evaluation,60efe32e74ab35d0d4c33cc8e364514ee6a667f02a931b0b04a1bc9644771d81
neck_strain,action_neck_stretches,medium,Gentle stretching as tolerated,18fec9d22e2238b07529c230db9f9cbf3f64b3ba981db9333c32bfb8ab3487dd
shoulder_strain,action_shoulder_mobility,medium,Gentle mobility as tolerated,4fa1186c20b60d05b20eb13f4ea859955c71ed2adeeda2fd57c7c42b01742d78
stress_related_symptoms,action_stress_management,medium,Coping strategies,71ae686eb3f8f9ebd0b7595b292d4c205b281928c7a269de58e7f5a25d1d659e
anxiety_related_symptoms,action_breathing_exercises,low,Breathing techniques if helpful,58cbd479dbbb91335e67d477326f0328cfbe4709d1815655ba83c7f335923cfd
