condition_id,guide_id,priority,reason,id
posture_related_headache,guide_posture_ergonomics,high,Ergonomics may help posture-related symptoms,af3923504cff0302235077f89a78328f0351996042e8d69b65bc8f830b9d0d3f
posture_related_headache,guide_neck_stretches,medium,Exercises may support symptom relief,3947cb78d4aed51e10a8198f63cd5e49200d7312073b08a619651de56700fec1
migraine_possible,guide_migraine_selfcare,high,Supportive migraine information,0c4b0728e50a322b06571e7592e2030157fbb83b00f6dc6ce6708299fc1c3eb0
migraine_possible,guide_sleep_hygiene,medium,Sleep routine may reduce triggers,c8d98e3223d73b9631a5b1ebf4e136586141ce2f29a7ff8330f939adf1f7eee8
eye_strain_headache,guide_computer_phone_posture,high,Reduce eye strain and posture triggers,0bd0386851187e12e4a158e2a02361668c39beb83e2201022a93cffe2ae40401
neck_strain,guide_neck_stretches,high,Neck strain exercises,d15d01fc9289692faacd64f88b7859d63c21d9fd1da2fb9942f6b83bbcff2857
shoulder_strain,guide_shoulder_mobility,high,Shoulder mobility exercises,e831401f15e74b517aa41b17980e24740ca2678c008c45687ce35b8838423248
hypertension_risk,guide_bp_monitoring,high,Home BP monitoring guidance,86ec6f6008b89e3c6e2664e437697edac374bc6e54d719a5177f9b0b6337d4af
hyperglycemia_risk_prediabetes_diabetes,guide_glucose_followup,high,Follow-up steps for glucose evaluation,6dbc8286c9431471487981ace8a539befbed031eb7737c71f583a41e03c7a2ea
respiratory_compromise_risk,guide_when_urgent,high,Urgent warning signs guidance,be4bc2a7f534ba860c74e341e74b1e66e1c88fcd8d1e08566f1c8e75baef114d
