condition_id,med_id,priority,reason,id
allergic_rhinitis,antihistamine_nondrowsy,high,Consider for sneezing/itchy eyes,35632b7ab5e61043866f92aec20d4b8775c81c42841da3a6e374a439ebb5a7f1
allergic_rhinitis,intranasal_steroid,medium,Consider for persistent nasal symptoms,5095a7becdfbcecae1b6aae80a083388f3b8cb19bb831ae029d5ebe90928c6fe
influenza_like_illness,acetaminophen_category,medium,Consider for fever/aches if appropriate,81692fcdf4e1cf097b47d5b11a69ef06c11b166d1773b2c8c6870a9b37e8cd06
influenza_like_illness,nsaid_category,medium,Consider for pain/fever if appropriate,6ead3e25e5537017d138b170a16de5b38dbcc58a065cc78be86ea4d659808640
acute_gastroenteritis,oral_rehydration,high,Support hydration,39a8181d5b11821cdc2c31ab42a4e8a2b517dcd49a54eb1d42dadf2a9c1d268c
gerd,antacid_category,medium,Consider for reflux symptoms,1015275653ff17e156d372a94f41a08727fec013c13ae26be3f2183eb4829325
gerd,acid_reducer_h2,low,Consider for reflux symptoms,30a4f2f336fb9805b4a02b572a79b0eca8d6cf41fc95bbe8ed2217717752fb53
contact_dermatitis,topical_steroid_low,low,Consider for itch if mild,6c754ffa5fbe8ffff70d2b08f08b26a6f7a01211be6db0b1d35070374182da38
urticaria_hives,antihistamine_nondrowsy,medium,Consider for hives symptom relief,734092e114c2ba431400d154c03c98a002f74fba27d3442fab83ee2553e97624
asthma_exacerbation,bronchodilator_category,medium,Discuss airway symptom management,b735bed35e712efcb126faef3d6992f22d61047679ab6154eb534a75b008f96b
neck_strain,nsaid_category,low,Discuss pain/inflammation relief category,d106843a63823e8cf5ee29be4526481e6ee5478e24f91e602e2b3e65161299bf
