from_type,from_id,condition_id,weight,notes,id
Symptom,poor_posture,posture_related_headache,4,,da70e391df04380113c06eebf8d3b4839b79240464c74fb3ba2cdec0077945b0
Symptom,screen_overuse,eye_strain_headache,4,,41e2651675faf05a52f2e02383508c717fae2b604fba435c35cf943888676ab8
Symptom,eye_strain,eye_strain_headache,4,,7b1a8f080359606be7c947029416f9c8cc1609d4a0af3eebf0f11b1380013d31
Symptom,sleep_loss,sleep_deprivation_headache,4,,e5936e1883b54f1fcd4a62badeb41e3ca08b00162f5f3453bc7a0be21314c481
Symptom,headache,tension_headache,3,,b03e62b2f8d5bc13f2dc9cef3d090700202f8f6e781069fe7948a61d8bab9344
Symptom,stress_related_symptoms,tension_headache,2,,792bcd7f22ae8f75da31f9cada2428536a37daa69ae97907f660d54354452760
Symptom,photophobia,migraine_possible,4,,ecf9270d75b29baa9961da8750142399b83b658e8474655a00ba1881b51ec989
Symptom,sound_sensitivity,migraine_possible,4,,502b8eab2a53fe866cbeb299c8f8e0206dc258ff4088b3a0ea3b9037c628ab3f
Symptom,nausea,migraine_possible,2,,6af42d0b9812b6c3621c2760f931c428caa50d5583a65d5653c25282f403decc
Symptom,neck_pain,neck_strain,4,,4c2148d858ddd5146ab05bc1d14baac794a39797dd350e1ee71d6ae348fc053a
Symptom,neck_stiffness,neck_strain,4,,e7df453d7657acbbaa36dd878b529d040f89be230680ea3e2ecbcffb2e90f5d2
Symptom,upper_back_pain,posture_related_headache,3,,17a39b77a3959b197b5edc4eeaf95bb144996ce1c1e780893b1b5964db5b02bf
Symptom,shoulder_pain,shoulder_strain,4,,92b6e411d23477fbc798facad099966bdbdc44d1c5a056f0ed2d6a71fac788ef
Symptom,palpitations,anxiety_related_symptoms,3,,b9729c82bcca095802c1d435c13538d9ac4e4bbdebb10f66a3b4715a7f4e4b08
Symptom,panic,panic_attack_possible,4,,389c88ea0671fba79330701e4b9365c1990403fadfee0d7385a267ffbbab2854
Symptom,anxiety,anxiety_related_symptoms,4,,64aa6eeecaaf4f596a346b5ab47477f54946665d32bf69276fa8bc78a80104c6
Symptom,dizziness,tension_dizziness,2,,4589d3a1fd85d4dd3fc079c32431f2fabd1c92be7c95fab7676ebd7cc239b22a
Symptom,dizziness,benign_vertigo_possible,3,,ed32971c9398614cb54a7845bf3a6f97f867e1b051623cb62709f61368c98b9b
Symptom,balance_issues,benign_vertigo_possible,3,,1bb95d8ad2f26182a18fa4832c374e8072cc3b29ca4c23fa3a2a1f4e7c0760a7
