action_id,name,category,notes,id
action_hydration,Hydration,supportive,Encourage adequate fluids if appropriate,f12e43e594f6f84f60df33c2439e606159dd2cd3c25014c67ce6b6c8a0478cbd
action_rest,Rest,supportive,Rest as needed,8d6557d40b431050c1f4139d71e857ad341a14f0e8b416d80acd7a12b1e06a6c
action_sleep_hygiene,Sleep hygiene,lifestyle,Maintain consistent sleep routine,739d72bf202abdff26ec6076b47122b253767bba41900d49950a9d3555e30bcd
action_reduce_screen_time,Reduce screen time,lifestyle,Reduce eye strain triggers if relevant,3f71afaa8836dcf8504dadc0257ea04a9a3d7d92bebecdbc0d9b3afaa1c24148
action_ergonomic_adjustments,Ergonomic adjustments,lifestyle,Adjust desk/monitor/phone position,535bb0b57d6158ab2e23be0860b657b9d94ce6c1c46852f96d3daaf2d8b5470d
action_posture_correction,Posture correction,lifestyle,Posture awareness and breaks,b32ee19899bae82d98e545deb4a15af2493e6fb08e5930c83b11af179a355b21
action_neck_stretches,Neck stretches,exercise,Gentle stretching as tolerated,67856f1b276dfd50b6b2ea4720a60754f33ee1f629c58f975c2ba13febae00fe
action_shoulder_mobility,Shoulder mobility,exercise,Gentle range-of-motion as tolerated,b9cdf7b519d78e26e939ed3d8ccc2dad9fd6aa23f008b2e2992ce02d50a74dc6
action_gentle_activity,Gentle activity,supportive,Movement as tolerated,1403d94c26849daa93389d2b9bb11e03ebf8741d0a81014d031298e4755271a7
action_activity_modification,Activity modification,lifestyle,Avoid aggravating activities temporarily,10f4818e52f56e75e1835062cf29609fd38164752f9d43695ec5ab8ed463021d
action_avoid_triggers,Avoid triggers,lifestyle,Avoid suspected triggers where possible,cb82033ae9bd585996f11c8877d3c99ed4616725eee42a9adb8bf8632ecf36cd
action_dietary_adjustments,Dietary adjustments,lifestyle,Supportive diet modifications as appropriate,8f092e5913c5b6386ead59dad04834c335037779cd4187769cccce9b147322ac
action_limit_alcohol,Limit alcohol,lifestyle,Reduce alcohol intake if relevant,1828f196978e41e0e4dfe645c076a96f04ed357497e7c8fe29928cbeb2966307
action_avoid_vaping,Avoid vaping,lifestyle,Reduce airway irritant exposure if relevant,f032aeb8f76f4415c3ababaec83ced855298058fd24fa8eee36efb399f601a5d
action_stress_management,Stress management,lifestyle,Relaxation and coping strategies,4c6963ea55bb3baca766849f6960d8e10848e430579ee1e93d10b2f40466040b
action_breathing_exercises,Breathing exercises,supportive,Breathing techniques if anxiety/stress,021dc3193f3d73cb358f5fda312a2ddb69b9f72d36e912a2351dc203c60451b5
action_return_precautions,Return precautions,safety,Seek care if symptoms worsen or red flags develop,cedd914acbf92a2ade948dc7ac9c9d08b630daed4bf327d473517ada6210b048
action_symptom_monitoring,Symptom monitoring,follow_up,Track symptom changes,5b7910a0d0ab8cd11e5dbf8a34aa90033306308fdf91de9369ec9e669e5aa953
action_bp_self_monitoring,BP self-monitoring,follow_up,Home BP checks if clinician recommends,20c10a73c07ac845da9d504ae96bed31b4fe5d97c2fa865c9994a3a74a2b5aa6
action_glucose_followup,Glucose follow-up plan,follow_up,Follow-up evaluation for hyperglycemia,99a60d1f8d3fe008cc7c5fbb40c6fd56be741b2c7c58915e78bd4e65750682b5
action_followup_primary_care,Follow-up with primary care,follow_up,Schedule follow-up visit,0bdb66da671759fd9b86f505c2ddacc98121bb2e5ee7cb8c631d33605bf24f91
action_followup_specialist,Follow-up with specialist,follow_up,Schedule specialist visit if referred,41578e0ae1a0c7228e6c84e5a7bf2b84a2e5eef2f4d91920ccb24ad8053464ba
