condition_id,name,severity,description,id
posture_related_headache,Posture-related headache,common,Headache possibly related to posture and muscle strain,4f35b5dd1e8d9eef08c0d38953ecc1f99b12d17b6924ff84e766ba11828aa002
tension_headache,Tension headache,common,Band-like headache without focal neurologic deficits,c2fe9be25c504e9f3addb85c9058dbe8f64c55941bb5f724f127e32c8311288e
migraine_possible,Migraine possible,common,"Headache with features such as photophobia, nausea, or aura",da04dd8b9e3f58b3bb49656b989c4c0900fe95a9e41d98b696c5f20a959c736f
eye_strain_headache,Eye strain headache,common,Headache possibly related to prolonged screen use or visual strain,409a5c4f4078000f467f45480fb8ea0159754bb6e5b74c6d87c954f28f5b38e7
sleep_deprivation_headache,Sleep deprivation headache,common,Headache associated with insufficient or disrupted sleep,a4180657d07de5d244a42ee3e5cff7053a67cb9c75f54d836eef82c4b020f90b
dehydration_headache,Dehydration headache,common,Headache associated with low fluid intake or fluid losses,c3b6efae4303e8d51e68225b6417f2ba302fec6dfb28726a017812aee2dece5e
viral_uri,Viral upper respiratory infection,common,Cold-like symptoms including runny nose and sore throat,f1f2fae09b90f6032233ae03a1987dedab2fab67b29b87c4c8630dc03ac62721
influenza_like_illness,Influenza-like illness,common,Fever and body aches with respiratory symptoms,c74be6dd9d5f981e285d191fb7e4083c7df79d1ea10e466d2cd92629e6cbd42e
covid_like_illness,COVID-like illness,common,Respiratory symptoms with systemic features,ff2b5f89c643624cc9e788f403441a14e0313816e80585c1537f184347dc9541
acute_sinusitis,Acute sinusitis possible,common,Facial pressure and congestion with persistent symptoms,4183e55035c60ef0e61676b85011adc29d8521dafdba9db3add452186a2b86ad
acute_pharyngitis,Acute pharyngitis,common,Sore throat with inflammatory symptoms,70a7f2f2d8f8f202a2014d126ea72db07b68d2985a545fbbada1fb7f84b3b391
acute_bronchitis,Acute bronchitis,common,"Cough after URI, often without pneumonia signs",d33d71ce7aba83647d06a369e2343bff35037053713bb9764924963a140ca43e
allergic_rhinitis,Allergic rhinitis,common,Sneezing and itchy eyes/runny nose often tied to allergens,020bbb12e337cb6de8bb20bdf0f4ccf292e9012ec6795e29fcafc059a1086249
asthma_exacerbation,Asthma exacerbation,common,Wheeze or SOB in context of asthma history/triggers,97babb1f7f3e27871d3aad15b964ef5e9a9f11d86a81b582cdef0b188f0cfddb
copd_exacerbation,COPD exacerbation,common,Increased cough/sputum/SOB in COPD context,43d95692811a15b81d71e00f30e3aa47f28e5454af10e6c40e52cfb435e862b1
acute_gastroenteritis,Acute gastroenteritis,common,Nausea/vomiting/diarrhea,36b3a2f332bb5693379581fb32707b994ceea8a50d1d767ba231828f26a56317
gerd,GERD,common,Heartburn or reflux-related symptoms,0f30d9738d2db6279ca18bb8638b0a9e82418c3e23ad0d31695d0e638f86fd54
gastritis_peptic_ulcer_possible,Gastritis/ulcer possible,common,Epigastric pain with nausea or bleeding concern,4d17562573b568b06a89c2195a2b720f3f30219250c5e1484f92820069ff9e12
ibs_possible,IBS possible,common,Chronic abdominal discomfort with bowel changes,538d2b8dae8edea8439a71aab14b58a9d1a953d92538059bde036106cb36e211
constipation,Constipation,common,Infrequent hard stools and straining,1944be27fc65b1f8c32d5361ea89dec7876c748a66be2bf7595078ee5ce34ebc
uti_uncomplicated,UTI possible (uncomplicated),common,Dysuria and frequency without systemic signs,dd9719f65ef70dd4fd3daecc77d735fcf7836a0f96b68d10e15e870436b33dc6
kidney_stone_possible,Kidney stone possible,common,Flank pain with urinary symptoms,0b70f2c624f6b1170184053dca9dfdc3b0532eda48cb53e69f925cf0f2aa57dd
low_back_pain_strain,Low back strain,common,Mechanical back pain after activity,bae3d8a7d747d5a4b3b66e472091d3723fc742c9d2e4d3cd2e4e6a83c6727ddc
neck_strain,Neck strain,common,Neck pain/stiffness after posture or activity,dc1043551b8763aa0d2d6d9ed1859cbc2d892d260e8aed6cde9f7eace220ff20
shoulder_strain,Shoulder strain,common,Shoulder pain after activity or overuse,10a9c0a1dcb5755e489f9ef6b5f4a23bed16728629818acdef83b51acb533284
sprain_strain_minor_injury,Minor sprain/strain,common,Localized pain after minor injury,b99b44ffa5beb56d7afac1b71cdb9c50d3b01a3be9a82cbfe8c86f37e017f98a
contact_dermatitis,Contact dermatitis,common,Rash after exposure/irritant,67faebe99c598377a44fc73d52a4ba378088423261c733f0609ac41f6e13745f
urticaria_hives,Urticaria (hives),common,Itchy welts often due to allergic triggers,9d58f30f7ae0d82c672a9128e5ed6657706f642499bcb41469c1917879f1b103
cellulitis_possible,Cellulitis possible,common,Spreading redness/warmth suggesting skin infection,36c13d2a0b71b4b8963eaf250afac5164148205d131b243dcdb10b3bb82dec2d
benign_vertigo_possible,Benign vertigo possible,common,Positional dizziness without neuro red flags,fa32c8196df96969c4c90547ce3dbbe6363fb9a06153470de6514dad292ee87d
tension_dizziness,Tension-related dizziness,common,Lightheadedness associated with stress or dehydration,803c1064e086426258003074cc585f99bf1c21ef736f483edac0bea6197cc977
